Fixture_ID,Date,Time,Status_Long,Status_Short,Elapsed,Home_Team,Away_Team,Home_Goals,Away_Goals,Venue,Referee
1031288,2023-07-08,23:50:00,Match Finished,FT,90,Cruz Azul,Toluca,0,2,Estadio Azteca,I. Lopez
1031286,2023-07-09,00:05:00,Match Finished,FT,90,Guadalajara Chivas,Atletico San Luis,3,1,Estadio AKRON,V. Cáceres
1031285,2023-07-09,00:06:00,Match Finished,FT,90,FC Juarez,Tigres UANL,1,1,Estadio Olímpico Benito Juárez,J. Lopez
1031289,2023-07-09,18:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Mazatlan,0,0,Estadio Olímpico Universitario,Ó. Macías
1031287,2023-07-10,01:00:00,Match Finished,FT,90,Monterrey,Atlas,1,0,Estadio BBVA,E. Morales
1031292,2023-07-11,02:00:00,Match Finished,FT,90,Leon,Pachuca,4,0,Estadio León,J. Camacho
1031293,2023-07-14,01:05:00,Match Finished,FT,90,Santos Laguna,Atlas,0,0,Estadio Corona,D. Montaño
1031294,2023-07-14,03:00:00,Match Finished,FT,90,Guadalajara Chivas,Necaxa,2,0,Estadio AKRON,J. Lopez
1031295,2023-07-15,01:00:00,Match Finished,FT,90,Mazatlan,Monterrey,0,3,Estadio El Encanto,B. González
1031296,2023-07-15,03:10:00,Match Finished,FT,90,Club Tijuana,Cruz Azul,2,1,Estadio Caliente,E. Morales
1031297,2023-07-15,23:00:00,Match Finished,FT,90,Atletico San Luis,Club Queretaro,4,1,Estadio Alfonso Lastras Ramírez,D. Quintero
1031298,2023-07-16,01:00:00,Match Finished,FT,90,Club America,Puebla,3,0,Estadio Azteca,V. Cáceres
1031299,2023-07-16,03:05:00,Match Finished,FT,90,Tigres UANL,Leon,1,0,Estadio Universitario,I. Lopez
1031300,2023-07-16,18:00:00,Match Finished,FT,90,Toluca,FC Juarez,2,4,Estadio Nemesio Díez,M. Terrazas
1031301,2023-07-17,02:15:00,Match Finished,FT,90,Pachuca,U.N.A.M. - Pumas,1,1,Estadio Hidalgo,Ó. Mejía
1031305,2023-08-19,01:06:00,Match Finished,FT,90,Leon,Mazatlan,2,1,Estadio León,M. Quintero
1031308,2023-08-19,03:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Toluca,1,1,Estadio Olímpico Universitario,L. Santander
1031302,2023-08-19,03:06:00,Match Finished,FT,90,Puebla,Atletico San Luis,1,2,Estadio Cuauhtémoc,I. Lopez
1031303,2023-08-19,03:10:00,Match Finished,FT,90,FC Juarez,Guadalajara Chivas,1,1,Estadio Olímpico Benito Juárez,F. Hernández
1031309,2023-08-20,23:00:00,Match Finished,FT,90,Cruz Azul,Santos Laguna,2,2,Estadio Azteca,M. Ortíz
1031310,2023-08-21,01:06:00,Match Finished,FT,90,Club Queretaro,Pachuca,1,1,Estadio Corregidora,V. Arce
1031307,2023-08-21,01:10:00,Match Finished,FT,90,Club America,Atlas,1,1,Estadio Azteca,A. Escobedo
1031304,2023-08-21,03:10:00,Match Finished,FT,90,Necaxa,Tigres UANL,0,3,Estadio Victoria,G. Pacheco
1031316,2023-08-23,01:00:00,Match Finished,FT,90,Guadalajara Chivas,Club Tijuana,1,0,Estadio AKRON,A. Escobedo
1031317,2023-08-23,01:00:00,Match Finished,FT,90,Mazatlan,Puebla,1,0,Estadio El Encanto,L. Santander
1031312,2023-08-23,03:06:00,Match Finished,FT,90,FC Juarez,U.N.A.M. - Pumas,4,1,Estadio Olímpico Benito Juárez,I. López
1031311,2023-08-24,01:00:00,Match Finished,FT,90,Club America,Necaxa,3,2,Estadio Azteca,M. Ortíz
1031314,2023-08-24,01:06:00,Match Finished,FT,90,Pachuca,Cruz Azul,1,0,Estadio Hidalgo,J. Lopez
1031424,2023-08-24,03:00:00,Match Finished,FT,90,Atletico San Luis,Leon,3,0,Estadio Alfonso Lastras Ramírez,E. Morales
1031425,2023-08-26,01:00:00,Match Finished,FT,90,Puebla,FC Juarez,1,0,Estadio Cuauhtémoc,D. Montaño
1031319,2023-08-26,03:10:00,Match Finished,FT,90,Club Tijuana,Mazatlan,1,1,Estadio Caliente,F. Guerrero
1031320,2023-08-26,23:00:00,Match Finished,FT,90,Atlas,Toluca,0,0,Estadio Jalisco,G. Pacheco
1031321,2023-08-27,01:00:00,Match Finished,FT,90,Club America,Leon,1,1,Estadio Azteca,Ó. Macías
1031322,2023-08-27,03:05:00,Match Finished,FT,90,Santos Laguna,Guadalajara Chivas,2,1,Estadio Corona,Ó. Mejía
1031324,2023-08-28,00:05:00,Match Finished,FT,90,U.N.A.M. - Pumas,Tigres UANL,2,1,Estadio Olímpico Universitario,F. Hernández
1031325,2023-08-28,02:05:00,Match Finished,FT,90,Monterrey,Cruz Azul,1,2,Estadio BBVA,C. Ramos
1031323,2023-08-28,22:00:00,Match Finished,FT,90,Necaxa,Club Queretaro,0,1,Estadio Victoria,D. Quintero
1031326,2023-08-29,03:10:00,Match Finished,FT,90,Pachuca,Atletico San Luis,0,2,Estadio Hidalgo,J. Camacho
1031315,2023-08-31,01:00:00,Match Finished,FT,90,Toluca,Monterrey,1,0,Estadio Nemesio Díez,D. Montaño
1031313,2023-08-31,01:06:00,Match Finished,FT,90,Club Queretaro,Atlas,1,2,Estadio Corregidora,F. Hernández
1031318,2023-08-31,03:00:00,Match Finished,FT,90,Tigres UANL,Santos Laguna,3,2,Estadio Universitario,D. Quintero
1031328,2023-09-02,01:06:00,Match Finished,FT,90,FC Juarez,Mazatlan,3,1,Estadio Olímpico Benito Juárez,A. Escobedo
1031329,2023-09-02,03:10:00,Match Finished,FT,90,Puebla,Club Tijuana,3,0,Estadio Cuauhtémoc,C. Ramos
1031331,2023-09-02,23:00:00,Match Finished,FT,90,Leon,Necaxa,1,1,Estadio León,V. Cáceres
1031332,2023-09-03,01:00:00,Match Finished,FT,90,Santos Laguna,U.N.A.M. - Pumas,2,1,Estadio Corona,F. Guerrero
1031333,2023-09-03,01:05:00,Match Finished,FT,90,Tigres UANL,Club Queretaro,5,0,Estadio Universitario,I. Lopez
1031334,2023-09-03,03:10:00,Match Finished,FT,90,Cruz Azul,Club America,2,3,Estadio Azteca,D. Quintero
1031335,2023-09-03,18:00:00,Match Finished,FT,90,Toluca,Pachuca,5,0,Estadio Nemesio Díez,M. Ortíz
1031330,2023-09-03,23:05:00,Match Finished,FT,90,Guadalajara Chivas,Monterrey,1,2,Estadio AKRON,Ó. Macías
1031327,2023-09-04,02:00:00,Match Finished,FT,90,Atletico San Luis,Atlas,2,0,Estadio Alfonso Lastras Ramírez,L. Santander
1031338,2023-09-16,01:00:00,Match Finished,FT,90,Mazatlan,Cruz Azul,2,2,Estadio El Encanto,M. Ortíz
1031339,2023-09-16,03:10:00,Match Finished,FT,90,Club Tijuana,Toluca,2,1,Estadio Caliente,E. Miranda
1031340,2023-09-16,23:00:00,Match Finished,FT,90,Necaxa,FC Juarez,1,1,Estadio Victoria,B. González
1031336,2023-09-17,01:00:00,Match Finished,FT,90,Monterrey,Leon,3,1,Estadio BBVA,L. Santander
1031337,2023-09-17,03:10:00,Match Finished,FT,90,Club America,Guadalajara Chivas,4,0,Estadio Azteca,F. Guerrero
1031341,2023-09-17,18:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Atletico San Luis,3,2,Estadio Olímpico Universitario,C. Ramos
1031342,2023-09-17,23:00:00,Match Finished,FT,90,Club Queretaro,Puebla,1,1,Estadio Corregidora,V. Cáceres
1031343,2023-09-18,01:00:00,Match Finished,FT,90,Atlas,Tigres UANL,2,0,Estadio Jalisco,A. Escobedo
1031344,2023-09-19,03:00:00,Match Finished,FT,90,Pachuca,Santos Laguna,3,2,Estadio Hidalgo,F. Hernández
1031291,2023-09-21,02:06:00,Match Finished,FT,90,Club Queretaro,Club America,1,2,Estadio Corregidora,D. Montaño
1031346,2023-09-23,01:00:00,Match Finished,FT,90,FC Juarez,Atlas,1,2,Estadio Olímpico Benito Juárez,V. Cáceres
1031345,2023-09-23,01:00:00,Match Finished,FT,90,Atletico San Luis,Mazatlan,3,2,Estadio Alfonso Lastras Ramírez,F. Hernández
1031347,2023-09-23,03:10:00,Match Finished,FT,90,Puebla,U.N.A.M. - Pumas,0,2,Estadio Cuauhtémoc,G. Pacheco
1031349,2023-09-24,01:00:00,Match Finished,FT,90,Guadalajara Chivas,Pachuca,0,0,Estadio AKRON,C. Ramos
1031348,2023-09-24,01:00:00,Match Finished,FT,90,Leon,Club Tijuana,1,0,Estadio León,F. Guerrero
1031350,2023-09-24,03:05:00,Match Finished,FT,90,Tigres UANL,Monterrey,3,0,Estadio Universitario,M. Ortíz
1031426,2023-09-24,18:00:00,Match Finished,FT,90,Toluca,Club America,1,1,Estadio Nemesio Díez,A. Escobedo
1031352,2023-09-25,02:05:00,Match Finished,FT,90,Santos Laguna,Necaxa,2,5,Estadio Corona,Ó. Mejía
1031351,2023-09-25,22:00:00,Match Finished,FT,90,Cruz Azul,Club Queretaro,1,3,Estadio Azteca,A. Quirarte
1031367,2023-09-27,01:05:00,Match Finished,FT,90,Guadalajara Chivas,Mazatlan,1,3,Estadio AKRON,E. Morales
1031353,2023-09-29,02:00:00,Match Finished,FT,90,Atlas,Puebla,2,3,Estadio Jalisco,I. Lopez
1031354,2023-09-30,01:00:00,Match Finished,FT,90,Club Queretaro,Leon,1,1,Estadio Corregidora,G. Pacheco
1031361,2023-09-30,03:00:00,Match Finished,FT,90,Atletico San Luis,Cruz Azul,1,2,Estadio Alfonso Lastras Ramírez,A. Escobedo
1031356,2023-09-30,03:10:00,Match Finished,FT,90,Club Tijuana,FC Juarez,5,1,Estadio Caliente,F. Hernández
1031357,2023-09-30,23:00:00,Match Finished,FT,90,Pachuca,Necaxa,1,1,Estadio Hidalgo,M. Terrazas
1031359,2023-10-01,00:40:00,Match Finished,FT,90,Club America,U.N.A.M. - Pumas,1,0,Estadio Azteca,V. Cáceres
1031355,2023-10-01,01:06:00,Match Finished,FT,90,Mazatlan,Tigres UANL,2,3,Estadio El Encanto,J. Lopez
1031360,2023-10-02,23:20:00,Match Finished,FT,90,Toluca,Guadalajara Chivas,1,1,Estadio Nemesio Díez,D. Quintero
1031362,2023-10-04,01:00:00,Match Finished,FT,90,Puebla,Monterrey,1,1,Estadio Cuauhtémoc,E. Miranda
1031363,2023-10-04,03:00:00,Match Finished,FT,90,Club America,Pachuca,4,0,Estadio Azteca,M. Ortíz
1031364,2023-10-05,01:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Club Queretaro,4,0,Estadio Olímpico Universitario,L. Santander
1031365,2023-10-05,01:00:00,Match Finished,FT,90,Necaxa,Cruz Azul,1,3,Estadio Victoria,F. Guerrero
1031366,2023-10-05,03:00:00,Match Finished,FT,90,Tigres UANL,Toluca,2,2,Estadio Universitario,C. Ramos
1031368,2023-10-05,03:00:00,Match Finished,FT,90,Santos Laguna,Club Tijuana,2,1,Estadio Corona,I. Lopez
1031370,2023-10-07,03:00:00,Match Finished,FT,90,Mazatlan,Club America,1,2,Estadio El Encanto,Ó. Mejía
1031371,2023-10-07,23:00:00,Match Finished,FT,90,Monterrey,FC Juarez,3,1,Estadio BBVA,D. Quintero
1031373,2023-10-08,01:00:00,Match Finished,FT,90,Guadalajara Chivas,Atlas,4,1,Estadio AKRON,A. Escobedo
1031372,2023-10-08,01:00:00,Match Finished,FT,90,Pachuca,Tigres UANL,1,1,Estadio Hidalgo,I. Lopez
1031374,2023-10-08,03:10:00,Match Finished,FT,90,Cruz Azul,U.N.A.M. - Pumas,1,4,Estadio Azteca,C. Ramos
1031375,2023-10-08,18:00:00,Match Finished,FT,90,Toluca,Club Queretaro,3,1,Estadio Nemesio Díez,F. Hernández
1031376,2023-10-08,23:00:00,Match Finished,FT,90,Necaxa,Puebla,1,2,Estadio Victoria,G. Pacheco
1031377,2023-10-09,01:05:00,Match Finished,FT,90,Santos Laguna,Leon,0,2,Estadio Corona,M. Ortíz
1031378,2023-10-09,03:00:00,Match Finished,FT,90,Club Tijuana,Atletico San Luis,2,1,Estadio Caliente,L. Santander
1031379,2023-10-21,01:00:00,Match Finished,FT,90,Atlas,Mazatlan,1,3,Estadio Jalisco,M. Ortíz
1031380,2023-10-21,01:06:00,Match Finished,FT,90,FC Juarez,Pachuca,0,1,Estadio Olímpico Benito Juárez,F. Guerrero
1031428,2023-10-21,03:10:00,Match Finished,FT,90,Puebla,Guadalajara Chivas,0,2,Estadio Cuauhtémoc,V. Cáceres
1031381,2023-10-21,23:00:00,Match Finished,FT,90,Leon,Toluca,1,0,Estadio León,Ó. Mejía
1031382,2023-10-22,01:00:00,Match Finished,FT,90,Club America,Santos Laguna,4,3,Estadio Azteca,C. Ramos
1031386,2023-10-22,01:06:00,Match Finished,FT,90,Club Queretaro,Club Tijuana,1,0,Estadio Corregidora,Ó. Macías
1031383,2023-10-22,03:10:00,Match Finished,FT,90,Tigres UANL,Cruz Azul,2,1,Estadio Universitario,E. Morales
1031384,2023-10-22,18:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Monterrey,0,1,Estadio Olímpico Universitario,I. Lopez
1031385,2023-10-23,00:00:00,Match Finished,FT,90,Atletico San Luis,Necaxa,4,0,Estadio Alfonso Lastras Ramírez,F. Hernández
1031427,2023-10-25,01:00:00,Match Finished,FT,90,Leon,Atlas,1,1,Estadio León,D. Montaño
1031306,2023-10-26,01:00:00,Match Finished,FT,90,Monterrey,Club Tijuana,3,1,Estadio BBVA,V. Cáceres
1031369,2023-10-26,03:06:00,Match Finished,FT,90,FC Juarez,Atletico San Luis,3,2,Estadio Olímpico Benito Juárez,Ó. Mejía
1031387,2023-10-28,01:00:00,Match Finished,FT,90,Necaxa,U.N.A.M. - Pumas,1,0,Estadio Victoria,A. Quirarte
1031388,2023-10-28,03:00:00,Match Finished,FT,90,Mazatlan,Club Queretaro,3,0,Estadio El Encanto,L. Santander
1031389,2023-10-29,00:00:00,Match Finished,FT,90,Cruz Azul,Leon,1,0,Estadio Azteca,B. González
1031391,2023-10-29,01:05:00,Match Finished,FT,90,Guadalajara Chivas,Tigres UANL,0,4,Estadio Jalisco,F. Hernández
1031390,2023-10-29,01:05:00,Match Finished,FT,90,Pachuca,Puebla,1,1,Estadio Hidalgo,J. Camacho
1031392,2023-10-29,03:10:00,Match Finished,FT,90,Monterrey,Club America,0,3,Estadio BBVA,A. Escobedo
1031393,2023-10-29,18:00:00,Match Finished,FT,90,Toluca,Atletico San Luis,3,1,Estadio Nemesio Díez,C. Ramos
1031394,2023-10-30,01:05:00,Match Finished,FT,90,Santos Laguna,FC Juarez,5,1,Estadio Corona,D. Montaño
1031395,2023-10-30,03:00:00,Match Finished,FT,90,Club Tijuana,Atlas,2,0,Estadio Caliente,D. Quintero
1031429,2023-11-01,01:00:00,Match Finished,FT,90,Toluca,Puebla,0,1,Estadio Nemesio Díez,Ó. Macías
1031396,2023-11-01,01:00:00,Match Finished,FT,90,Club Queretaro,Guadalajara Chivas,1,2,Estadio Corregidora,C. Ramos
1031397,2023-11-01,03:00:00,Match Finished,FT,90,Leon,U.N.A.M. - Pumas,1,1,Estadio León,A. Escobedo
1031398,2023-11-01,03:05:00,Match Finished,FT,90,Monterrey,Necaxa,3,0,Estadio BBVA,Ó. Mejía
1031399,2023-11-02,01:00:00,Match Finished,FT,90,Atlas,Pachuca,0,2,Estadio Jalisco,L. Santander
1031400,2023-11-02,01:00:00,Match Finished,FT,90,Cruz Azul,FC Juarez,2,0,Estadio Azteca,D. Quintero
1031402,2023-11-02,03:00:00,Match Finished,FT,90,Atletico San Luis,Club America,0,1,Estadio Alfonso Lastras Ramírez,F. Guerrero
1031401,2023-11-02,03:00:00,Match Finished,FT,90,Mazatlan,Santos Laguna,3,1,Estadio El Encanto,F. Hernández
1031403,2023-11-02,03:06:00,Match Finished,FT,90,Club Tijuana,Tigres UANL,2,0,Estadio Caliente,M. Ortíz
1031404,2023-11-04,03:00:00,Match Finished,FT,90,Puebla,Leon,5,4,Estadio Cuauhtémoc,E. Morales
1031405,2023-11-04,22:55:00,Match Finished,FT,90,Tigres UANL,Atletico San Luis,2,2,Estadio Universitario,L. Santander
1031406,2023-11-05,01:00:00,Match Finished,FT,90,Club America,Club Tijuana,3,0,Estadio Azteca,Ó. Mejía
1031407,2023-11-05,03:05:00,Match Finished,FT,90,Guadalajara Chivas,Cruz Azul,1,0,Estadio AKRON,A. Escobedo
1031408,2023-11-05,03:05:00,Match Finished,FT,90,Pachuca,Monterrey,0,2,Estadio Hidalgo,D. Quintero
1031409,2023-11-05,18:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Atlas,3,0,Estadio Olímpico Universitario,F. Guerrero
